Date,Restaurant Name,Food Category,Delivery Fee (CAD),Total Cost (CAD),Delivery Time (Minutes),Customer Rating,Payment Method,Location
2021-01-01,Taco Bell,Fast Food,7.794539757,35.89363234102301,38.176126179198114,3.817341263828722,Cash,Toronto
2021-01-02,Dominos,Indian,8.336749070084345,49.23497386929141,51.20757074,4.714387526122554,Gift Card,Toronto
2021-01-03,Starbucks,Italian,5.2383874326815985,91.04463779409893,59.904912890055414,3.954974038463721,Cash,Toronto
2021-01-04,Burger King,Japanese,7.232606362975985,15.03763642216267,27.645283537955873,2.225071548018459,Credit Card,Toronto
2021-01-05,Taco Bell,American,4.833889923558196,91.61756321456447,38.38603279,2.0603251373542903,Debit Card,Toronto
2021-01-06,A&W,American,6.204036976,28.07359709453666,37.23935607683288,3.7847698012043596,PayPal,Toronto
2021-01-07,Subway,Fast Food,5.853078772278899,99.15734196573598,32.179701309958034,1.771482274758457,Debit Card,Toronto
2021-01-08,Taco Bell,Vegan,3.415097161150835,96.16199440826979,27.923820668811583,1.3708592432410796,Cash,Toronto
2021-01-09,Starbucks,Vegan,5.096630082685047,57.04739111525908,22.627684659586368,3.1288914994247756,PayPal,Toronto
2021-01-10,Burger King,Fast Food,9.710578203858809,58.58122106407339,55.484772688947935,4.286566279115821,Gift Card,Toronto
2021-01-11,Dominos,Chinese,3.9886420617195366,55.93169392344761,36.793947907452704,1.4055193698794541,Debit Card,Toronto
2021-01-12,Starbucks,Italian,3.0704298902359097,69.01270988105942,39.875820740001956,4.167565295182917,PayPal,Toronto
2021-01-13,Starbucks,American,5.348644972991482,22.71134468996914,56.677681928036634,4.246288017406192,PayPal,Toronto
2021-01-14,Subway,American,8.322701886881184,17.772525609033153,51.051619100637915,2.929096000326174,PayPal,Toronto
2021-01-15,KFC,Chinese,6.657185838239778,19.904748915351405,25.22005056468737,1.2292412400419472,Credit Card,Toronto
2021-01-16,Burger King,American,7.447798617905956,52.771054685528725,42.616798704309694,1.6983594049887456,Debit Card,Toronto
2021-01-17,McDonalds,Japanese,3.5175587853974175,38.42157483365609,37.690091060782365,3.8297051006477294,PayPal,Toronto
2021-01-18,Starbucks,Italian,6.951585544061772,67.87336280153447,51.88844290315051,3.847111779963798,Debit Card,Toronto
2021-01-19,KFC,Mediterranean,4.588003159,99.35759459685622,48.96930190447797,4.593421100670661,PayPal,Toronto
2021-01-20,McDonalds,American,8.674426927638141,47.83746971,47.616228876442875,3.3307445862183314,Gift Card,Toronto
2021-01-21,Burger King,Fast Food,7.034390448085889,63.776506598883635,33.621793419195875,1.4964294708551096,Gift Card,Toronto
2021-01-22,Pizza Hut,Japanese,3.5908502222023673,50.326331152123515,52.19854921597018,1.4856596220198885,Gift Card,Toronto
2021-01-23,A&W,American,2.516933438752689,87.01809175635805,22.095651823794448,3.8845294294272947,Cash,Toronto
2021-01-24,KFC,Japanese,2.341065674296262,91.69009429429023,26.38499605728669,1.7351386604316046,PayPal,Toronto
2021-01-25,Chipotle,Thai,4.971268541201126,89.57522704,33.42493091911647,2.3135419984664214,Cash,Toronto
2021-01-26,Pizza Hut,Mediterranean,4.126809093234508,97.82164029,23.07229764277125,2.9488480276876556,Debit Card,Toronto
2021-01-27,A&W,Mexican,7.168720987700064,17.33913074,29.399771101387664,1.0990595103046048,Cash,Toronto
2021-01-28,Subway,Fast Food,5.994670679828946,86.38437378237013,53.20603931991673,1.9952761080797274,Debit Card,Toronto
2021-01-29,Taco Bell,Fast Food,4.128154224043046,78.90063470832293,57.93006151160317,2.6315584340291203,Debit Card,Toronto
2021-01-30,Dominos,Italian,3.193902223601409,34.4390248,32.18409423096762,2.118545273972825,Debit Card,Toronto
2021-01-31,Chipotle,Japanese,3.0175981014995967,96.28720793793984,30.58063215955353,1.5454813098702633,Cash,Toronto
2021-02-01,Subway,Chinese,8.917283137123341,27.595123899545364,31.195706089857076,3.9120490311847895,PayPal,Toronto
2021-02-02,Burger King,Fast Food,3.947823747238938,72.76174380638221,31.108763494033752,4.252590621,Cash,Toronto
2021-02-03,Subway,Japanese,7.213685183287747,34.11566842935256,21.43720728743892,2.0299159045748993,PayPal,Toronto
2021-02-04,Taco Bell,Japanese,8.485487423890131,51.66735514579635,57.07665385324432,4.097677978425214,PayPal,Toronto
2021-02-05,Burger King,Indian,6.912650489477889,76.12859124028836,28.547925662813135,2.5422142576052553,Debit Card,Toronto
2021-02-06,Chipotle,Indian,8.876521853175566,62.88259457280897,36.80016296,3.026743163416011,Cash,Toronto
2021-02-07,Taco Bell,Mexican,5.139149772227796,51.337655662889496,20.38747530963871,4.424004299572611,PayPal,Toronto
2021-02-08,McDonalds,Thai,9.649777525191586,42.738766629218915,54.318203636602284,3.9998147272096314,Gift Card,Toronto
2021-02-09,Dominos,Mexican,3.0651600334247755,86.37107073524717,49.24629377819669,4.220467405264711,PayPal,Toronto
2021-02-10,Chipotle,American,2.8171962372603048,27.224219776759163,57.870241406948125,1.5473806663454273,Gift Card,Toronto
2021-02-11,McDonalds,Chinese,7.269537169659548,51.558744505033005,51.26461916785596,1.278877703334918,Cash,Toronto
2021-02-12,A&W,American,9.542649131306094,91.81939360088708,32.54826048208261,4.573618916351949,Cash,Toronto
2021-02-13,Chipotle,Vegan,8.471067693090625,86.89721178909726,29.914934349136946,2.5513370782843774,Cash,Toronto
2021-02-14,A&W,American,2.6113348755044115,49.08004981020897,47.90865230213171,2.1515187122787234,PayPal,Toronto
2021-02-15,Burger King,Italian,4.234941711477731,79.86421090611121,34.56451100041998,3.898785017047298,Credit Card,Toronto
2021-02-16,McDonalds,American,9.442551079,84.96867061025304,42.64860063010467,4.345662386319427,PayPal,Toronto
2021-02-17,Dominos,Mexican,4.024467462406276,90.55543104030853,20.250298841058807,4.449958487593204,PayPal,Toronto
2021-02-18,Taco Bell,Fast Food,8.249363390295354,61.282990369184375,22.47542806721901,2.2639885645009095,Debit Card,Toronto
