Date _Time,Restaurant Name,Food Category,Delivery Fee (CAD),Total Cost (CAD),Delivery Time (Minutes),Customer Rating,Payment Method,Delivery Count,Location,Date,Date_Time,Temperature_High_C,Temperature_Low_C,Precipitation_mm,Humidity_%,Wind_Speed_kmh
2021-01-01 18:26:00,McDonalds,Mediterranean,4.099880063,35.24780202,52.98505411,4.526698041,Debit Card,92,Toronto,2021-01-01,2021-01-01 08:03:00,6.854305348,0.211647369,7.877288113,55.61721145,13.13237835
2021-01-02 00:55:00,McDonalds,Mediterranean,6.64972382,48.03735381,44.33400186,2.578640352,Gift Card,56,Toronto,2021-01-02,2021-01-02 11:06:00,32.78214379,19.63639659,13.02465954,94.43170184,22.81553333
2021-01-03 17:25:00,Burger King,Vegan,7.74534358,52.714623,37.77408784,3.746297168,Debit Card,141,Toronto,2021-01-03,2021-01-03 18:16:00,22.93972738,11.28775517,2.131860606,80.24393871,25.41948666
2021-01-04 09:39:00,Burger King,Indian,2.995375095,90.76168453,57.75983627,2.666368911,PayPal,132,Toronto,2021-01-04,2021-01-04 20:20:00,16.93963179,6.708977541,13.15690609,73.62643786,9.540349194
2021-01-05 03:04:00,Taco Bell,Italian,6.79677808,49.96307468,21.9135525,3.594108107,Debit Card,133,Toronto,2021-01-05,2021-01-05 21:06:00,-2.97916118,-11.56746602,19.98827452,46.65936815,14.2735252
2021-01-06 08:41:00,Pizza Hut,Fast Food,6.402810231,27.34412669,54.00687781,2.237729884,Credit Card,93,Toronto,2021-01-06,2021-01-06 09:57:00,-2.980246585,-16.75225199,0.964240777,66.82333263,27.54850492
2021-01-07 04:23:00,Starbucks,Mediterranean,6.111643574,59.56676976,59.90330372,3.424809014,Gift Card,89,Toronto,2021-01-07,2021-01-07 13:18:00,-7.386237452,-16.31068853,19.54348368,67.62149627,25.16733799
2021-01-08 20:48:00,Subway,Indian,7.520984941,96.85142955,55.47768444,3.095033986,Debit Card,184,Toronto,2021-01-08,2021-01-08 21:22:00,28.97792656,15.81193217,8.138159214,91.87381657,29.62146007
2021-01-09 17:41:00,Dominos,Mexican,8.699596761,66.65327949,52.41746342,1.097921063,Credit Card,74,Toronto,2021-01-09,2021-01-09 13:17:00,17.05017553,7.658826443,17.41506901,72.79889321,23.85620649
2021-01-10 16:42:00,Chipotle,American,4.583917465,98.58791374,34.97223974,4.162811615,Cash,108,Toronto,2021-01-10,2021-01-10 19:32:00,21.863266,13.09382171,15.64770968,62.82403294,14.82988003
2021-01-11 02:02:00,Dominos,Mexican,9.112097521,86.49412126,29.25256729,1.047591329,Debit Card,190,Toronto,2021-01-11,2021-01-11 06:29:00,-9.073697757,-18.70049561,11.34032522,98.60801971,19.76594585
2021-01-12 19:39:00,A&W,Indian,3.285068901,18.05708928,49.39402082,2.172623769,Gift Card,152,Toronto,2021-01-12,2021-01-12 06:55:00,33.64594335,25.63216461,14.76898419,46.6432356,21.52535636
2021-01-13 05:00:00,Burger King,Chinese,3.384190958,70.96396561,32.18301465,1.023696262,Credit Card,135,Toronto,2021-01-13,2021-01-13 07:05:00,27.45991884,14.98382503,17.57031123,65.3529057,6.961395408
2021-01-14 13:52:00,Taco Bell,Chinese,4.134176509,39.37518459,27.04158729,2.504805653,Debit Card,161,Toronto,2021-01-14,2021-01-14 16:36:00,-0.444740019,-10.47194392,8.082806433,42.52148051,18.61242398
2021-01-15 18:10:00,Dominos,Indian,2.956246956,62.56743273,51.46103548,1.252642113,Cash,135,Toronto,2021-01-15,2021-01-15 20:40:00,-1.817876476,-9.140003427,6.540663231,84.39424725,22.73302071
2021-01-16 10:44:00,Pizza Hut,Vegan,3.842553797,38.74434123,32.50174609,4.654043867,Debit Card,147,Toronto,2021-01-16,2021-01-16 14:26:00,-1.746797057,-15.74254279,13.35186771,95.08459313,9.1830326
2021-01-17 14:33:00,Chipotle,Vegan,2.851294103,44.65398541,56.57766918,2.662717181,Credit Card,111,Toronto,2021-01-17,2021-01-17 01:25:00,3.690900933,-5.148011281,16.15691884,56.80223977,24.51579294
2021-01-18 06:33:00,Dominos,Mediterranean,8.574019336,93.4693405,53.62530579,2.837983099,Debit Card,57,Toronto,2021-01-18,2021-01-18 20:39:00,13.61403942,3.178510812,15.2457027,91.50050061,19.59431951
2021-01-19 11:00:00,Chipotle,Japanese,3.111751935,32.56467072,53.90561318,2.399400944,Gift Card,162,Toronto,2021-01-19,2021-01-19 07:02:00,9.437525839,-4.627195271,15.95627298,57.53309383,28.80554464
2021-01-20 23:48:00,KFC,Fast Food,7.97838046,89.29927503,50.86278904,3.510024617,PayPal,195,Toronto,2021-01-20,2021-01-20 22:23:00,3.105311309,-8.13706865,8.711666296,94.6462097,6.060557455
2021-01-21 19:14:00,Pizza Hut,Mediterranean,2.383310943,17.58891369,55.23525695,4.137632466,Credit Card,109,Toronto,2021-01-21,2021-01-21 01:57:00,17.53338026,11.36439986,16.35668432,85.23771422,11.63315344
2021-01-22 01:08:00,Subway,Mexican,9.58816262,22.72450576,52.22987569,3.592586972,Credit Card,109,Toronto,2021-01-22,2021-01-22 15:58:00,-3.722776271,-18.12109751,2.404181107,88.29440661,20.03884698
2021-01-23 22:48:00,McDonalds,Fast Food,7.6892807,87.64737852,44.10045454,3.992828474,Credit Card,155,Toronto,2021-01-23,2021-01-23 14:41:00,3.146509184,-8.130571347,10.88978196,41.08039334,12.41399781
2021-01-24 12:41:00,Chipotle,Mexican,2.054372389,68.59726263,31.83290874,4.623894654,Credit Card,51,Toronto,2021-01-24,2021-01-24 16:31:00,6.486282948,-1.862773198,0.11517321,97.76862142,22.8606041
2021-01-25 05:19:00,Pizza Hut,Vegan,8.110852002,78.51507173,55.52836773,4.454186127,Debit Card,140,Toronto,2021-01-25,2021-01-25 06:54:00,10.52314929,4.130428563,6.491716598,83.60025952,23.97513206
2021-01-26 02:56:00,Chipotle,Indian,6.112655366,32.80050202,53.62414491,3.696233811,Gift Card,63,Toronto,2021-01-26,2021-01-26 09:58:00,25.33291826,12.39266637,7.329230697,58.28506572,7.562899102
2021-01-27 09:43:00,Chipotle,Japanese,8.234921363,60.65209373,38.91517289,1.858551852,Cash,97,Toronto,2021-01-27,2021-01-27 00:39:00,-1.014679803,-12.21540736,7.923453832,89.76367989,17.84636161
2021-01-28 19:43:00,Starbucks,Mexican,6.179974471,77.663634,21.56314744,3.550811404,Gift Card,152,Toronto,2021-01-28,2021-01-28 19:44:00,13.14054973,2.805938809,13.90934413,56.8912719,17.72226389
2021-01-29 09:41:00,Starbucks,Vegan,7.128198861,68.32170165,45.5417491,3.024332383,Credit Card,105,Toronto,2021-01-29,2021-01-29 11:42:00,16.6586556,2.719729768,7.771162025,92.36523037,14.23201926
2021-01-30 19:18:00,Pizza Hut,Japanese,8.290653243,55.09439519,22.02387415,3.868876924,Debit Card,61,Toronto,2021-01-30,2021-01-30 08:56:00,-7.909731428,-20.79570354,8.973872452,46.75482342,28.32312156
2021-01-31 01:50:00,Starbucks,Mediterranean,5.240864437,96.58162185,57.05119847,4.331726594,Debit Card,104,Toronto,2021-01-31,2021-01-31 06:59:00,17.33951834,10.82276954,4.750882617,82.22115865,25.687658
2021-02-01 16:38:00,A&W,Indian,2.021665199,72.47337334,58.46525027,3.970885989,Credit Card,159,Toronto,2021-02-01,2021-02-01 11:03:00,-2.326414434,-10.44363511,7.465035833,72.4419086,22.43023455
2021-02-02 12:37:00,Subway,American,8.799571968,92.15881802,27.57960584,4.38624468,Debit Card,53,Toronto,2021-02-02,2021-02-02 01:34:00,-7.072678316,-14.55756971,4.545392545,45.79206821,22.85816589
2021-02-03 04:42:00,Taco Bell,Chinese,5.047122901,77.03049348,47.05557512,1.255465493,Credit Card,85,Toronto,2021-02-03,2021-02-03 16:12:00,32.69984918,20.26038625,1.463918475,54.5136297,16.5429036
2021-02-04 03:13:00,Pizza Hut,Thai,5.968341808,77.51439993,23.69076018,1.126480153,Gift Card,180,Toronto,2021-02-04,2021-02-04 10:49:00,33.45344149,28.11811714,12.06897187,40.74424218,28.02486303
2021-02-05 16:06:00,Pizza Hut,Japanese,2.062133137,21.80155293,49.18067714,2.034002271,PayPal,50,Toronto,2021-02-05,2021-02-05 04:47:00,26.37788067,15.67898382,13.36425597,68.12607793,22.36488568
2021-02-06 17:50:00,A&W,American,5.936736083,45.55449286,33.89150665,4.602664336,Debit Card,66,Toronto,2021-02-06,2021-02-06 06:51:00,3.707619613,-8.916967245,12.38980692,58.07591565,23.22452654
2021-02-07 16:17:00,Burger King,American,9.891899213,87.96139957,47.24200447,4.294637004,Credit Card,111,Toronto,2021-02-07,2021-02-07 06:39:00,-5.60475487,-19.37241124,9.269880876,75.90144906,26.54227259
2021-02-08 05:41:00,Burger King,Japanese,4.226141287,34.77132828,34.91506037,3.730909191,Credit Card,97,Toronto,2021-02-08,2021-02-08 08:47:00,20.79048619,12.36966871,7.595715604,57.83426846,11.85178973
2021-02-09 21:05:00,Starbucks,American,5.163346162,24.81799862,25.82270039,3.80303467,Debit Card,111,Toronto,2021-02-09,2021-02-09 17:21:00,9.806862218,-3.405710828,17.26667299,57.99514669,25.1767726
2021-02-10 08:41:00,Taco Bell,Mexican,7.497519972,42.71901481,36.24439922,3.906681877,Cash,118,Toronto,2021-02-10,2021-02-10 02:15:00,-4.508279432,-10.6145968,10.3816357,84.59159192,9.881015074
2021-02-11 23:13:00,Starbucks,American,8.51834934,33.73722022,24.50694107,4.770410802,Credit Card,196,Toronto,2021-02-11,2021-02-11 12:38:00,12.28296096,-1.181561962,9.583637553,42.88857016,13.63354881
2021-02-12 13:20:00,KFC,Vegan,5.339132992,93.64949656,43.075331,4.328764609,Debit Card,152,Toronto,2021-02-12,2021-02-12 21:11:00,-8.45251655,-14.72740317,0.512841316,94.17369971,13.39026136
2021-02-13 15:02:00,KFC,Fast Food,4.477350963,88.77716457,21.63806129,3.493561548,Credit Card,159,Toronto,2021-02-13,2021-02-13 14:02:00,30.91941809,21.94654519,6.824956553,91.13583246,29.46313671
